state_name,district_name,year_month,gw_level_m_bgl
andhra pradesh,visakhapatnam,2013-01,2.9146835443037973
andhra pradesh,visakhapatnam,2013-05,5.259411764705883
andhra pradesh,visakhapatnam,2013-11,2.070689655172414
andhra pradesh,visakhapatnam,2014-01,3.2758730158730156
andhra pradesh,visakhapatnam,2014-05,4.84433962264151
andhra pradesh,visakhapatnam,2014-08,3.2175324675324677
andhra pradesh,visakhapatnam,2014-11,2.484933333333333
andhra pradesh,visakhapatnam,2015-01,3.651038961038961
andhra pradesh,visakhapatnam,2015-05,4.8404
andhra pradesh,visakhapatnam,2015-08,3.021780821917808
andhra pradesh,visakhapatnam,2015-11,2.715857142857143
andhra pradesh,visakhapatnam,2016-01,4.148666666666667
andhra pradesh,visakhapatnam,2016-05,4.409565217391304
andhra pradesh,visakhapatnam,2016-08,4.171846153846154
andhra pradesh,visakhapatnam,2016-11,3.2477941176470586
andhra pradesh,visakhapatnam,2017-01,4.246376811594203
andhra pradesh,visakhapatnam,2017-05,5.36910447761194
andhra pradesh,visakhapatnam,2017-08,3.5235483870967745
andhra pradesh,visakhapatnam,2017-11,3.8430645161290324
andhra pradesh,visakhapatnam,2017-12,4.8030508474576274
andhra pradesh,visakhapatnam,2018-05,5.426
andhra pradesh,visakhapatnam,2018-08,3.8768965517241383
andhra pradesh,visakhapatnam,2018-11,4.389152542372881
andhra pradesh,visakhapatnam,2019-01,4.770181818181818
andhra pradesh,visakhapatnam,2019-05,6.211206896551724
andhra pradesh,visakhapatnam,2019-08,4.778983050847457
andhra pradesh,visakhapatnam,2019-10,2.4894545454545454
andhra pradesh,visakhapatnam,2020-01,4.052181818181818
andhra pradesh,visakhapatnam,2020-08,3.7671698113207546
andhra pradesh,visakhapatnam,2020-11,2.578909090909091
andhra pradesh,visakhapatnam,2021-01,3.668
andhra pradesh,vizianagaram,2013-01,2.75
andhra pradesh,vizianagaram,2013-05,5.29
andhra pradesh,vizianagaram,2013-11,1.724375
andhra pradesh,vizianagaram,2014-01,3.283076923076923
andhra pradesh,vizianagaram,2014-05,4.253571428571429
andhra pradesh,vizianagaram,2014-08,2.1166666666666667
andhra pradesh,vizianagaram,2014-11,1.89275
andhra pradesh,vizianagaram,2015-01,2.84
andhra pradesh,vizianagaram,2015-05,4.3561538461538465
andhra pradesh,vizianagaram,2015-08,2.299318181818182
andhra pradesh,vizianagaram,2015-11,2.3209756097560974
andhra pradesh,vizianagaram,2016-01,3.2830769230769232
andhra pradesh,vizianagaram,2016-05,4.5476190476190474
andhra pradesh,vizianagaram,2016-08,2.639761904761905
andhra pradesh,vizianagaram,2016-11,2.934791666666667
andhra pradesh,vizianagaram,2017-01,3.7867346938775515
andhra pradesh,vizianagaram,2017-05,5.967083333333334
andhra pradesh,vizianagaram,2017-08,3.339375
andhra pradesh,vizianagaram,2017-11,2.406304347826087
andhra pradesh,vizianagaram,2017-12,3.9121276595744683
andhra pradesh,vizianagaram,2018-05,5.1880434782608695
andhra pradesh,vizianagaram,2018-08,3.197173913043478
andhra pradesh,vizianagaram,2018-11,3.5578260869565215
andhra pradesh,vizianagaram,2019-01,4.465
andhra pradesh,vizianagaram,2019-05,6.189318181818181
andhra pradesh,vizianagaram,2019-08,4.615744680851064
andhra pradesh,vizianagaram,2019-10,1.9833333333333332
andhra pradesh,vizianagaram,2020-01,3.4771739130434782
andhra pradesh,vizianagaram,2020-08,4.12
andhra pradesh,vizianagaram,2020-11,2.174146341463415
andhra pradesh,vizianagaram,2021-01,3.6795454545454547
andhra pradesh,west godavari,2013-01,4.728260869565218
andhra pradesh,west godavari,2013-05,8.287500000000001
andhra pradesh,west godavari,2013-11,3.662826086956522
andhra pradesh,west godavari,2014-01,5.005
andhra pradesh,west godavari,2014-05,5.633384615384616
andhra pradesh,west godavari,2014-08,4.73890625
andhra pradesh,west godavari,2014-11,4.734179104477612
andhra pradesh,west godavari,2015-01,4.433787878787879
andhra pradesh,west godavari,2015-05,6.345522388059702
andhra pradesh,west godavari,2015-08,4.0035483870967745
andhra pradesh,west godavari,2015-11,3.83828125
andhra pradesh,west godavari,2016-01,3.577111111111111
andhra pradesh,west godavari,2016-05,6.651746031746032
andhra pradesh,west godavari,2016-08,3.4775
andhra pradesh,west godavari,2016-11,4.400163934426229
andhra pradesh,west godavari,2017-01,5.825846153846154
andhra pradesh,west godavari,2017-05,5.929814814814814
andhra pradesh,west godavari,2017-08,4.8915
andhra pradesh,west godavari,2017-11,4.514166666666667
andhra pradesh,west godavari,2017-12,5.092542372881356
andhra pradesh,west godavari,2018-05,5.1998148148148156
andhra pradesh,west godavari,2018-08,2.530588235294118
andhra pradesh,west godavari,2018-11,4.402222222222222
andhra pradesh,west godavari,2018-12,4.338571428571429
andhra pradesh,west godavari,2019-01,5.352833333333334
andhra pradesh,west godavari,2019-05,5.968947368421053
andhra pradesh,west godavari,2019-08,4.17537037037037
andhra pradesh,west godavari,2019-10,2.908679245283019
andhra pradesh,west godavari,2020-01,4.665925925925926
andhra pradesh,west godavari,2020-11,3.9291071428571427
andhra pradesh,west godavari,2021-01,3.803148148148148
andhra pradesh,y.s.r.,2013-01,6.381739130434783
andhra pradesh,y.s.r.,2013-05,10.21888888888889
andhra pradesh,y.s.r.,2013-11,4.988461538461538
andhra pradesh,y.s.r.,2014-01,6.1214814814814815
andhra pradesh,y.s.r.,2014-05,8.615806451612903
andhra pradesh,y.s.r.,2014-08,9.135
andhra pradesh,y.s.r.,2014-11,6.970434782608695
andhra pradesh,y.s.r.,2015-01,7.56695652173913
andhra pradesh,y.s.r.,2015-05,11.098181818181818
andhra pradesh,y.s.r.,2015-08,9.796111111111111
andhra pradesh,y.s.r.,2015-11,6.3999999999999995
andhra pradesh,y.s.r.,2016-01,4.554285714285714
andhra pradesh,y.s.r.,2016-05,8.13
andhra pradesh,y.s.r.,2016-08,9.647857142857143
andhra pradesh,y.s.r.,2016-11,6.259047619047619
andhra pradesh,y.s.r.,2017-01,12.136
andhra pradesh,y.s.r.,2017-05,11.43125
andhra pradesh,y.s.r.,2017-08,13.571379310344827
andhra pradesh,y.s.r.,2017-11,7.4684
andhra pradesh,y.s.r.,2017-12,8.133529411764705
andhra pradesh,y.s.r.,2018-05,15.8112
andhra pradesh,y.s.r.,2018-08,15.043555555555553
andhra pradesh,y.s.r.,2018-11,17.398139534883722
andhra pradesh,y.s.r.,2019-01,15.308372093023255
andhra pradesh,y.s.r.,2019-05,23.681463414634145
andhra pradesh,y.s.r.,2019-08,20.28666666666667
andhra pradesh,y.s.r.,2019-10,12.814358974358974
andhra pradesh,y.s.r.,2020-01,13.320697674418604
andhra pradesh,y.s.r.,2020-11,9.100714285714286
andhra pradesh,y.s.r.,2021-01,5.640666666666667
arunachal pradesh,changlang,2013-01,3.672857142857143
arunachal pradesh,changlang,2013-03,4.665
arunachal pradesh,changlang,2013-08,1.91
arunachal pradesh,changlang,2013-11,3.17
arunachal pradesh,changlang,2014-01,4.0675
